,record_type_code,responsibility_beginning_date,right_to_transact_business_code,secretary_of_state_sos_or_coa_file_number,sos_charter_date,sos_status_code,sos_status_date,taxpayer_address,taxpayer_city,taxpayer_county_code,taxpayer_name,taxpayer_number,taxpayer_organizational_type,taxpayer_state,taxpayer_zip,current_exempt_reason_code,exempt_begin_date,_621111
0,U,2022-11-03T00:00:00.000,A,0804794554,2022-11-03T00:00:00.000,A,2022-11-03T00:00:00.000,PO BOX 472121,GARLAND,57,CAREGIVING ABODES HEALTH SERVICES LIMITED LIABILIT,32087050863,CL,TX,75047,,,
1,U,2005-07-05T00:00:00.000,A,0800515257,2005-07-05T00:00:00.000,A,2005-07-05T00:00:00.000,PO BOX 1697,LIVINGSTON,187,DEEP EAST TEXAS USBC ASSOCIATION,32017759757,CN,TX,77351,66,2005-07-05T00:00:00.000,
2,U,2019-02-06T00:00:00.000,A,0803230768,2019-02-06T00:00:00.000,A,2019-02-06T00:00:00.000,440 LOUISIANA ST STE 952,HOUSTON,101,SAI COMMERICAL GROUP LLC,32069677568,CL,TX,77002,,,
3,V,2013-02-08T00:00:00.000,A,0801730500,2013-02-08T00:00:00.000,A,2013-02-08T00:00:00.000,16601 BLANCO RD STE 120,SAN ANTONIO,15,"INVICTUS MEDICAL, INC.",32050156820,CF,TX,78232,,,
4,V,2017-01-25T00:00:00.000,A,0802634590,2017-01-25T00:00:00.000,A,2017-01-25T00:00:00.000,546 BRANDIES CIR STE 101,MURFREESBORO,0,"NEXT SOLUTIONS, LLC",32062684785,CI,TN,37128,,,
5,U,2022-03-02T00:00:00.000,A,0804455322,2022-03-02T00:00:00.000,A,2022-03-02T00:00:00.000,25372 PINE KNOB DR,CLEVELAND,146,NXT LEVEL LOGISTICS LIMITED LIABILITY COMPANY,32083474075,CL,TX,77328,,,
6,U,2022-02-26T00:00:00.000,A,0804450250,2022-02-26T00:00:00.000,A,2022-02-26T00:00:00.000,612 COLE ST,WEBSTER,101,COSMIC PLUMBING LLC,32083407778,CL,TX,77598,,,
7,U,2021-06-02T00:00:00.000,A,0804092869,2021-06-02T00:00:00.000,A,2021-06-02T00:00:00.000,5900 BALCONES DR STE 100,AUSTIN,227,BNRBR LLC,32079541713,CL,TX,78731,,,
8,X ,2008-01-01T00:00:00.000,A ,  ,,  ,,149 COLONIAL RD ,MANCHESTER ,0,FIRST HARTFORD CORPORATION ,10101858008 ,CF ,CT ,06042 ,  ,,  
9,U,2015-05-20T00:00:00.000,A,0802219098,2015-05-20T00:00:00.000,A,2015-05-20T00:00:00.000,4217 HARPER AVE,CELINA,43,TRANSCENTRIC LLC,32057315320,CL,TX,75009,,,
10,V ,1982-08-18T00:00:00.000,A ,0005566306 ,1982-08-18T00:00:00.000,R ,2010-08-12T00:00:00.000,101 CIANBRO SQ ,PITTSFIELD ,0,CIANBRO CORPORATION ,10102062600 ,CF ,ME ,04967 ,  ,,236000 
11,U,2016-05-26T00:00:00.000,A,0802467824,2016-05-26T00:00:00.000,R,2020-05-18T00:00:00.000,19302 LITTLE PINE LN,KATY,101,DIENGUISTE TRANSPORTATION LLC,32060596346,CL,TX,77449,,,
12,X ,1995-02-01T00:00:00.000,A ,  ,,  ,,PO BOX 1609 C/O BLAINE MARTINEAU ,LEWISTON ,0,GEIGER BROS ,10102338943 ,CF ,ME ,04241 ,  ,,444110 
13,U,2022-11-03T00:00:00.000,A,0804795045,2022-11-03T00:00:00.000,A,2022-11-03T00:00:00.000,113 N DOBSON ST,BURLESON,126,CHURCH PARK PROPERTIES LLC,32087047422,CL,TX,76028,,,
14,X ,2004-07-15T00:00:00.000,N ,  ,,  ,,2350 FRANKLIN RD STE 230 ,BLOOMFIELD ,0,FRASER PAPER LIMITED ,10102421053 ,CF ,MI ,48302 ,  ,,425120 
15,U,2015-03-12T00:00:00.000,A,0802173148,2015-03-12T00:00:00.000,A,2015-03-12T00:00:00.000,PO BOX 9444,SPRING,170,"TS PETROSERVICE, LLC",14734587034,CL,TX,77387,,,
16,V ,2001-08-13T00:00:00.000,A ,0800196535 ,2003-04-22T00:00:00.000,A ,2003-04-22T00:00:00.000,911 PANORAMA TRL S ATTN:DIANA WALDRUFF ,ROCHESTER ,0,"ADVANTAGE PAYROLL SERVICES, INC. ",10102871471 ,CF ,NY ,14625 ,"
  ",,541214 
17,U,2018-02-20T00:00:00.000,A,0802939405,2018-02-20T00:00:00.000,R,2022-02-24T00:00:00.000,507 E 11TH ST,WESLACO,108,LUNA FREIGHT LLC,18133442105,CL,TX,78596,,,
18,X ,1994-10-01T00:00:00.000,A ,  ,,  ,,PO BOX 5888 ,SAINT JOHN ,0,IRVING FOREST PRODUCTS INC ,10103094396 ,CF ,  ,  ,  ,,  
19,U,2023-02-24T00:00:00.000,A,0804961549,2023-02-24T00:00:00.000,A,2023-02-24T00:00:00.000,11334 CAMASSIA,SAN ANTONIO,15,ROUTE 35 INC,32088719243,CT,TX,78245,,,
20,U,2018-07-27T00:00:00.000,A,0803077631,2018-07-27T00:00:00.000,A,2018-07-27T00:00:00.000,10846 LAKE PATH DR,SAN ANTONIO,15,"CORONA GDL, LLC",32067917438,CL,TX,78217,,,
21,X ,2009-03-01T00:00:00.000,A ,  ,,  ,,555 MAIN ST STE 242 ,RACINE ,0,JOHNSON OUTDOORS WATERCRAFT INC. ,10103300256 ,CF ,WI ,53403 ,  ,,  
22,U,2022-01-24T00:00:00.000,A,0804401311,2022-01-24T00:00:00.000,A,2022-01-24T00:00:00.000,4209 PARRY AVE,DALLAS,57,TWELVE THIRTY FOUR CONCEPTS LLC,32082829980,CL,TX,75223,,,
23,X ,2001-01-01T00:00:00.000,A ,  ,,  ,,7911 FORSYTH BLVD STE 600 ,SAINT LOUIS ,0,XTRA LLC ,10103462742 ,CF ,MO ,63105 ,  ,,484121 
