,taxpayer_city,responsibility_year,firm_growth_count
0,TALCO,2023,7
1,VICTORIA,2023,287
2,MONAHANS,2023,51
3,POINT,2023,17
4,MEADOWS PLACE,2023,40
5,FLOWER MOUND,2023,669
6,TATUM,2023,17
7,PORT ARTHUR,2023,153
8,JARRELL,2023,142
9,RICHWOOD,2023,17
10,SMILEY,2023,4
11,YOAKUM,2023,25
12,KELLER,2023,418
13,ANGLETON,2023,130
14,RED OAK,2023,205
15,LAKE DALLAS,2023,57
16,HEBBRONVILLE,2023,12
17,LUCAS,2023,69
18,HASLET,2023,341
19,CORPUS CHRISTI,2023,1210
20,BRYAN,2023,468
21,BRIGGS,2023,4
22,CLYDE,2023,34
23,SUNSET,2023,22
24,COMFORT,2023,34
25,ROXTON,2023,7
26,FAIR OAKS,2023,46
27,IRVING,2023,2052
28,BEDFORD,2023,288
29,CEDAR HILL,2023,442
30,ALVIN,2023,203
31,MEXIA,2023,38
32,PALMHURST,2023,25
33,BULLARD,2023,89
34,EDGEWOOD,2023,29
35,LAKE JACKSON,2023,114
36,FULSHEAR,2023,362
37,OAK POINT,2023,45
38,HENDERSON,2023,91
39,SPRINGLAKE,2023,7
40,RIESEL,2023,20
41,BRECKENRIDGE,2023,41
42,LEDBETTER,2023,7
43,ELM MOTT,2023,11
44,STAGECOACH,2023,8
45,BEASLEY,2023,9
46,BRAZORIA,2023,27
47,MANVEL,2023,245
48,MIDLOTHIAN,2023,339
49,LA GRANGE,2023,63
50,BAY CITY,2023,72
51,WAKE VILLAGE,2023,15
52,ROLLINGWOOD,2023,3
53,BEDIAS,2023,10
54,DENTON,2023,673
55,SACHSE,2023,228
56,HUTTO,2023,352
57,TRINITY,2023,25
58,COPPELL,2023,446
59,PARKER,2023,77
60,MICO,2023,25
61,RIO FRIO,2023,1
62,HICO,2023,31
63,KENNARD,2023,5
64,JACKSONVILLE,2023,76
65,FLORESVILLE,2023,114
66,WATAUGA,2023,94
67,FORT HOOD,2023,26
68,SUNSET VALLEY,2023,11
69,CARROLLTON,2023,1307
70,DALLAS,2023,16785
71,LAREDO,2023,1523
72,EL PASO,2023,3172
73,FOREST HILL,2023,59
74,EDNA,2023,36
75,MERIDIAN,2023,16
76,ARP,2023,14
77,SAN ELIZARIO,2023,19
78,WALLISVILLE,2023,8
79,WINDCREST,2023,58
80,SOUR LAKE,2023,27
81,SAN LEON,2023,34
82,SAN JUAN,2023,146
83,MURPHY,2023,175
84,LEVELLAND,2023,51
85,SINTON,2023,26
86,CLEVELAND,2023,272
87,NEEDVILLE,2023,42
88,LA BLANCA,2023,7
89,ANDERSON,2023,35
90,SPRING,2023,2830
91,WOLFFORTH,2023,71
92,POTEET,2023,42
93,DEER PARK,2023,136
94,HARLINGEN,2023,252
95,GEORGETOWN,2023,979
96,SEMINOLE,2023,130
97,KEMPNER,2023,55
98,GRANDFALLS,2023,3
99,WHITE OAK,2023,30
100,NEW CANEY,2023,182
101,THE WOODLANDS,2023,868
102,GILMER,2023,116
103,TROUP,2023,41
104,LARUE,2023,12
105,SHINER,2023,34
106,DEL RIO,2023,161
107,ALVARADO,2023,123
108,PORTER,2023,286
109,GODLEY,2023,76
110,KEMP,2023,59
111,SHENANDOAH,2023,77
112,BALLINGER,2023,13
113,PARIS,2023,147
114,TIOGA,2023,23
115,DALE,2023,49
116,UNIVERSAL CTY,2023,84
117,FAIRVIEW,2023,95
118,KRUM,2023,68
119,MAUD,2023,7
120,SPRING BRANCH,2023,184
121,SEYMOUR,2023,16
122,ROBY,2023,4
123,MARQUEZ,2023,12
124,NEW ULM,2023,12
125,SLATON,2023,22
126,FORT STOCKTON,2023,50
127,ZAPATA,2023,39
128,GIDDINGS,2023,29
129,HAWLEY,2023,12
130,KOSSE,2023,6
131,ARANSAS PASS,2023,43
132,NASH,2023,13
133,CHESTER,2023,6
134,CROSSROADS,2023,39
135,RUSK,2023,34
136,ORANGE GROVE,2023,27
137,LAKE WORTH,2023,24
138,KERMIT,2023,47
139,MONT BELVIEU,2023,71
140,DONNA,2023,121
141,CELINA,2023,403
142,BURLESON,2023,460
143,BROWNFIELD,2023,27
144,POOLVILLE,2023,35
145,SOMERSET,2023,10
146,RED ROCK,2023,20
147,ALTO,2023,17
148,COTULLA,2023,17
149,KARNACK,2023,15
150,FT WORTH,2023,8
151,QUEEN CITY,2023,10
152,PALM VALLEY,2023,2
153,WEST ORANGE,2023,6
154,DAINGERFIELD,2023,16
155,COMMERCE,2023,25
156,CLARKSVILLE,2023,19
157,SHELBYVILLE,2023,10
158,MOSCOW,2023,6
159,VAN VLECK,2023,5
160,KIRBYVILLE,2023,19
161,CAMPBELL,2023,13
162,CHICO,2023,20
163,MILES,2023,4
164,WALLIS,2023,25
165,MAXWELL,2023,23
166,THE HILLS,2023,24
167,MALAKOFF,2023,15
168,ROBERT LEE,2023,3
169,TULETA,2023,2
170,THORNTON,2023,7
171,MOUNT CALM,2023,4
172,PETERSBURG,2023,2
173,HARLETON,2023,10
174,WEIMAR,2023,15
175,ACKERLY,2023,13
176,JASPER,2023,58
177,ROSEBUD,2023,6
178,MILAM,2023,5
179,FREEPORT,2023,36
180,HITCHCOCK,2023,35
181,GAIL,2023,2
182,HAWKINS,2023,19
183,BARTONVILLE,2023,37
184,CUERO,2023,37
185,TORNILLO,2023,8
186,VERNON,2023,40
187,HARDIN,2023,5
188,KNOX CITY,2023,5
189,CRYSTAL CITY,2023,13
190,HARKER HTS,2023,116
191,WALNUT SPGS,2023,3
192,THROCKMORTON,2023,5
193,COLORADO CITY,2023,21
194,NATALIA,2023,23
195,YORKTOWN,2023,16
196,MUSTANG RIDGE,2023,3
197,PRAIRIE VIEW,2023,11
198,CHARLOTTE,2023,4
199,YANCEY,2023,4
200,BIGFOOT,2023,7
201,OLNEY,2023,8
202,CALLISBURG,2023,5
203,WILSON,2023,6
204,PEARSALL,2023,24
205,MAY,2023,4
206,HOWE,2023,17
207,FULTON,2023,8
208,CELESTE,2023,22
209,HARWOOD,2023,4
210,FLATONIA,2023,15
211,COVE,2023,12
212,CUT AND SHOOT,2023,4
213,CENTER POINT,2023,14
214,PITTSBURG,2023,43
215,CROSS ROADS,2023,1
216,MILANO,2023,7
217,BLOOMBURG,2023,7
218,BLESSING,2023,3
219,FRANKLIN,2023,24
220,COTTONWD SHRS,2023,10
221,DEPORT,2023,7
222,TURKEY,2023,4
223,BURTON,2023,13
224,SABINAL,2023,12
225,LONE OAK,2023,26
226,GRUVER,2023,6
227,LAZBUDDIE,2023,2
228,MIDWAY,2023,3
229,JONESBORO,2023,3
230,QUEMADO,2023,2
231,OVALO,2023,3
232,SPURGER,2023,3
233,LOCKNEY,2023,11
234,HIGHLAND VLG,2023,91
235,VAN,2023,25
236,MERIT,2023,1
237,SHIRO,2023,2
238,DILLEY,2023,13
239,BUFFALO GAP,2023,14
240,BLOOMING GROVE,2023,1
241,ALAMO HEIGHTS,2023,6
242,ANTON,2023,9
243,UTOPIA,2023,12
244,FORT DAVIS,2023,10
245,MILFORD,2023,7
246,DYESS AFB,2023,4
247,MC CAULLEY,2023,2
248,GARRISON,2023,12
249,VANDERPOOL,2023,2
250,DENNIS,2023,1
251,DELMITA,2023,2
252,WHEELOCK,2023,1
253,GOBER,2023,1
254,WELLINGTON,2023,11
255,ASHERTON,2023,3
256,BRACKETTVILLE,2023,6
257,BROOKESMITH,2023,2
258,WEST POINT,2023,6
259,MOORE,2023,11
260,WALL,2023,10
261,SEBASTIAN,2023,1
262,DOBBIN,2023,1
263,LOVING,2023,6
264,MOUNT PLEASANT,2023,14
265,CREEDMOOR,2023,2
266,RICHLAND HILLS,2023,9
267,ELIASVILLE,2023,1
268,CONCAN,2023,4
269,ZAVALLA,2023,7
270,DODGE,2023,4
271,AUSTWELL,2023,2
272,BERCLAIR,2023,2
273,CALL,2023,1
274,CROWELL,2023,1
275,LTL RVR ACAD,2023,12
276,PEASTER,2023,3
277,ECTOR,2023,3
278,IREDELL,2023,5
279,BAILEY,2023,1
280,SACUL,2023,1
281,MERTENS,2023,1
282,LONE STAR,2023,7
283,WELCH,2023,3
284,TEHUACANA,2023,3
285,SALT FLAT,2023,1
286,LOZANO,2023,1
287,ROSANKY,2023,10
288,MCMAHAN,2023,1
289,MULLIN,2023,4
290,FISCHER,2023,11
291,PINELAND,2023,2
292,CAMPBELLTON,2023,3
293,MARKHAM,2023,3
294,GARWOOD,2023,1
295,PETTUS,2023,3
296,BLOOMINGTON,2023,3
297,WICKETT,2023,1
298,BATESVILLE,2023,1
299,HARGILL,2023,1
300,SANDERSON,2023,1
301,JUSTICEBURG,2023,2
302,CAMDEN,2023,2
303,HEIDENHEIMER,2023,1
304,HART,2023,2
305,CLEAR LAKE SHORES,2023,1
306,ACTON,2023,1
307,BIG WELLS,2023,2
308,CARLSBAD,2023,2
309,NADA,2023,1
310,LAKE CITY,2023,1
311,SIENNA PLANTATION,2023,1
312,PRAIRIE HILL,2023,1
313,CRANFILLS GAP,2023,2
314,WOODSON,2023,2
315,NOVICE,2023,1
316,GUN BARREL CITY,2023,6
317,LUEDERS,2023,1
318,WESTMINSTER,2023,1
319,WHITEFACE,2023,2
320,HL CNTRY VLG,2023,2
321,HORIZON,2023,1
322,ART,2023,2
323,MIRANDO CITY,2023,2
324,CARRIZO SPRINGS,2023,7
325,SOUTHMAYD,2023,1
326,NURSERY,2023,1
327,FRUITVALE,2023,4
328,YSLETA SUR,2023,2
329,FREDONIA,2023,1
330,BAYVIEW,2023,1
331,LOS INDIOS,2023,2
332,EDGECLIFF VILLAGE,2023,2
333,MILLICAN,2023,1
334,OLD RIVER WINFREE,2023,1
335,DALWORTHINGTON GARDE,2023,1
336,LEANDER,2023,980
337,PECOS,2023,50
338,BAYTOWN,2023,506
339,VALLEY VIEW,2023,40
340,MATHIS,2023,18
341,WEST,2023,27
342,HANKAMER,2023,8
343,SOCORRO,2023,78
344,SANGER,2023,114
345,AMES,2023,2
346,BIG SANDY,2023,16
347,MORGAN,2023,4
348,SANTO,2023,16
349,CANADIAN,2023,28
350,SELMA,2023,57
351,VOLENTE,2023,15
352,FATE,2023,131
353,LIVE OAK,2023,60
354,BECKVILLE,2023,9
355,DE KALB,2023,30
356,MARTINDALE,2023,14
357,ATASCOCITA,2023,21
358,COLMESNEIL,2023,17
359,FORT WORTH,2023,5768
360,MAGNOLIA,2023,622
361,WILLS POINT,2023,90
362,QUANAH,2023,8
363,CONROE,2023,1334
364,MADISONVILLE,2023,46
365,GRAND PRAIRIE,2023,1263
366,WARREN,2023,6
367,HUDSON OAKS,2023,45
368,RANCHO VIEJO,2023,25
369,PENITAS,2023,31
370,PURDON,2023,5
371,BOWIE,2023,43
372,BALMORHEA,2023,7
373,GATESVILLE,2023,65
374,WACO,2023,700
375,JOSHUA,2023,97
376,TYLER,2023,1010
377,GRANDVIEW,2023,52
378,ALLEN,2023,1082
379,ALEDO,2023,235
380,PINEHURST,2023,70
381,KERRVILLE,2023,197
382,PAIGE,2023,32
383,BELLVILLE,2023,65
384,IOWA PARK,2023,36
385,SEGUIN,2023,259
386,ARGYLE,2023,285
387,SHEPPARD AFB,2023,5
388,EAST BERNARD,2023,15
389,CLEBURNE,2023,203
390,HOCKLEY,2023,133
391,BREMOND,2023,7
392,LINDALE,2023,98
393,BROOKELAND,2023,12
394,TUSCOLA,2023,44
395,LANTANA,2023,103
396,SANTA FE,2023,94
397,VIDOR,2023,72
398,RIO MEDINA,2023,11
399,FREER,2023,6
400,ROCKDALE,2023,39
401,ROCKWALL,2023,649
402,WAELDER,2023,13
403,BLUE RIDGE,2023,28
404,NORTHLAKE,2023,150
405,MARATHON,2023,4
406,YANTIS,2023,15
407,SUNNYVALE,2023,70
408,BEE CAVE,2023,103
409,WASKOM,2023,30
410,WHITESBORO,2023,81
411,CRANDALL,2023,64
412,LAGO VISTA,2023,154
413,BLUM,2023,9
414,BARTLETT,2023,9
415,ODESSA,2023,1083
416,STAFFORD,2023,355
417,COVINGTON,2023,20
418,SIMONTON,2023,8
419,GALVESTON,2023,248
420,ATHENS,2023,112
421,NACOGDOCHES,2023,174
422,EOLA,2023,2
423,FORT HANCOCK,2023,1
424,EL LAGO,2023,12
425,BRENHAM,2023,134
426,GLEN ROSE,2023,39
427,LIBERTY HILL,2023,419
428,ROSENBERG,2023,430
429,SAN ANGELO,2023,443
430,HUNT,2023,16
431,SONORA,2023,13
432,NAVASOTA,2023,66
433,LANCASTER,2023,241
434,HUNTSVILLE,2023,191
435,CORSICANA,2023,137
436,EULESS,2023,482
437,CIBOLO,2023,209
438,KEMAH,2023,81
439,LAKE KIOWA,2023,11
440,LOUISE,2023,6
441,TIMPSON,2023,15
442,SPLENDORA,2023,75
443,GLENN HEIGHTS,2023,104
444,FRANKSTON,2023,24
445,WHITNEY,2023,34
446,THRALL,2023,13
447,CARTHAGE,2023,68
448,EARLY,2023,24
449,ROSCOE,2023,7
450,TOLAR,2023,29
451,TULIA,2023,13
452,REFUGIO,2023,11
453,PILOT POINT,2023,58
454,LA FERIA,2023,34
455,ALPINE,2023,55
456,IDALOU,2023,21
457,CUMBY,2023,15
458,LEXINGTON,2023,20
459,JUSTIN,2023,136
460,GARLAND,2023,1278
461,WICHITA FALLS,2023,405
462,KILLEEN,2023,724
463,LAMESA,2023,28
464,SUGAR LAND,2023,2247
465,BROOKSHIRE,2023,118
466,SAN DIEGO,2023,10
467,PARADISE,2023,52
468,OAKWOOD,2023,12
469,HARPER,2023,25
470,MERKEL,2023,23
471,MISSION,2023,801
472,NEDERLAND,2023,86
473,GEORGE WEST,2023,33
474,SNYDER,2023,52
475,EMORY,2023,30
476,LUMBERTON,2023,119
477,BACLIFF,2023,40
478,PRINCETON,2023,231
479,HIDALGO,2023,64
480,WEBSTER,2023,145
481,WAXAHACHIE,2023,396
482,ODEM,2023,14
483,VAN ALSTYNE,2023,106
484,FABENS,2023,13
485,ROSHARON,2023,310
486,DUNCANVILLE,2023,268
487,DICKINSON,2023,204
488,PASADENA,2023,417
489,GRAPEVINE,2023,452
490,DEL VALLE,2023,142
491,BURNET,2023,96
492,MILLSAP,2023,61
493,PANTEGO,2023,29
494,BANDERA,2023,66
495,SCURRY,2023,23
496,BRONSON,2023,7
497,BANGS,2023,10
498,SAVOY,2023,14
499,BLANCO,2023,67
500,ROANS PRAIRIE,2023,1
501,JACKSBORO,2023,30
502,CHATFIELD,2023,2
503,STRATFORD,2023,13
504,LOVELADY,2023,12
505,BEN WHEELER,2023,22
506,BUFFALO,2023,23
507,KENDALIA,2023,3
508,CLUTE,2023,35
509,GRAND SALINE,2023,42
510,PANOLA,2023,1
511,DOUGLASSVILLE,2023,8
512,FALFURRIAS,2023,13
513,WOODVILLE,2023,25
514,HILLTOP LAKES,2023,3
515,RANGER,2023,9
516,SHADY SHORES,2023,13
517,CADDO,2023,1
518,OVILLA,2023,36
519,BROCK,2023,24
520,DUMAS,2023,50
521,MULESHOE,2023,25
522,OMAHA,2023,15
523,ALBANY,2023,14
524,CASTROVILLE,2023,41
525,HILLSBORO,2023,46
526,LIPAN,2023,37
527,NORTH ZULCH,2023,9
528,EDCOUCH,2023,29
529,BONHAM,2023,54
530,RIVIERA,2023,7
531,MURCHISON,2023,12
532,BISHOP,2023,17
533,ORLA,2023,2
534,SALADO,2023,85
535,CENTERVILLE,2023,16
536,ALIEF,2023,11
537,WELLMAN,2023,3
538,NEWARK,2023,25
539,PECAN GAP,2023,3
540,ANTHONY,2023,7
541,HASLETT,2023,1
542,GANADO,2023,12
543,SWEENY,2023,22
544,GREGORY,2023,3
545,ROCKSPRINGS,2023,6
546,NEMO,2023,3
547,WINFIELD,2023,2
548,HAMLIN,2023,11
549,SOMERVILLE,2023,27
550,MIAMI,2023,3
551,BUCHANAN DAM,2023,12
552,SIDNEY,2023,1
553,VANDERBILT,2023,1
554,PIERCE,2023,1
555,WEST TAWAKONI,2023,4
556,GUY,2023,9
557,ROWENA,2023,2
558,KINGSBURY,2023,15
559,KERENS,2023,17
560,COAHOMA,2023,10
561,SAN SABA,2023,14
562,ITALY,2023,14
563,NOCONA,2023,25
564,CHAPPELL HILL,2023,21
565,CHILLICOTHE,2023,4
566,DOUGLASS,2023,5
567,POTH,2023,7
568,MEADOWLAKES,2023,9
569,JONES CREEK,2023,1
570,MONTE ALTO,2023,14
571,DIMMITT,2023,20
572,DRIPPING SPGS,2023,228
573,VALERA,2023,3
574,COMO,2023,7
575,ANNONA,2023,2
576,FORT BLISS,2023,1
577,WINTERS,2023,10
578,AURORA,2023,9
579,FROST,2023,13
580,MEDINA,2023,11
581,HIGH ISLAND,2023,3
582,BAYSIDE,2023,1
583,ACE,2023,1
584,NORMANNA,2023,2
585,IRA,2023,4
586,CASON,2023,1
587,TAHOKA,2023,17
588,MARIETTA,2023,2
589,MINGUS,2023,2
590,POINT COMFORT,2023,2
591,MT PLEASANT,2023,103
592,AVERY,2023,7
593,LEFORS,2023,2
594,WESTBROOK,2023,3
595,MC CAMEY,2023,4
596,OLMOS PARK,2023,7
597,LYFORD,2023,10
598,ABBOTT,2023,7
599,PORT BOLIVAR,2023,7
600,FARMERS BRNCH,2023,245
601,LAKEWOOD VLG,2023,11
602,PATTONVILLE,2023,11
603,MUNDAY,2023,3
604,KRESS,2023,2
605,THORNTONVILLE,2023,1
606,BLUFFTON,2023,1
607,SNOOK,2023,5
608,FORSAN,2023,2
609,FLUVANNA,2023,3
610,SANTA ANNA,2023,8
611,SIERRA BLANCA,2023,2
612,WALBURG,2023,2
613,EVADALE,2023,2
614,WESTON,2023,5
615,SHOREACRES,2023,2
616,WOLFE CITY,2023,12
617,GRANGER,2023,8
618,BOLING,2023,7
619,TIKI ISLAND,2023,3
620,PROVIDNCE VLG,2023,35
621,BRASHEAR,2023,4
622,TYE,2023,4
623,PALO PINTO,2023,4
624,NEW DEAL,2023,1
625,STOWELL,2023,1
626,DEWEYVILLE,2023,1
627,SWEET HOME,2023,2
628,BROOKSIDE VL,2023,4
629,HARKER HEIGHTS,2023,34
630,SKIDMORE,2023,6
631,ROMAYOR,2023,1
632,ROUND TOP,2023,6
633,CARLTON,2023,1
634,SUNRISE BEACH,2023,9
635,RICHLAND,2023,3
636,STAPLES,2023,2
637,NIXON,2023,8
638,DEVERS,2023,5
639,SHERIDAN,2023,2
640,MCDADE,2023,1
641,WELLBORN,2023,1
642,COPEVILLE,2023,2
643,CARBON,2023,3
644,HUGHES SPGS,2023,20
645,HAPPY,2023,7
646,BEVERLY HILLS,2023,1
647,MACDONA,2023,3
648,STINNETT,2023,8
649,WOODLAWN,2023,2
650,PETTY,2023,3
651,KIRBY,2023,3
652,KLONDIKE,2023,1
653,GLENDALE,2023,1
654,REDWATER,2023,1
655,DANCIGER,2023,1
656,BAYOU VISTA,2023,4
657,CHIRENO,2023,2
658,LYONS,2023,1
659,LA WARD,2023,1
660,TENNESSEE COLONY,2023,2
661,LORAINE,2023,1
662,DETROIT,2023,7
663,CAT SPRING,2023,5
664,ADRIAN,2023,1
665,LEWISVILLEE,2023,1
666,GORMAN,2023,1
667,RIO BRAVO,2023,3
668,ELMATON,2023,1
669,TOKIO,2023,1
670,PENNINGTON,2023,1
671,HEDLEY,2023,1
672,FAIR OAKS RANCH,2023,6
673,STRICKLAND,2023,1
674,BLOOMING GRV,2023,10
675,OLD RVR WNFRE,2023,2
676,MANSFIEL,2023,1
677,HOLLY LAKE RANCH,2023,2
678,SUTHERLND SPG,2023,3
679,COMSTOCK,2023,1
680,CYPRESS MILL,2023,1
681,WILLOW CITY,2023,1
682,CONCEPCION,2023,2
683,MCLEAN,2023,2
684,FT SM HOUSTON,2023,3
685,TODD MISSION,2023,1
686,MCGREGOR,2023,3
687,HEDWIG VLG,2023,2
688,CALLIHAM,2023,1
689,OAKHURST,2023,1
690,FORT SAM HOUSTON,2023,1
691,LAIRD HILL,2023,1
692,LANE CITY,2023,1
693,EDMONSON,2023,1
694,BARDWELL,2023,1
695,WALLER,2023,89
696,IRAAN,2023,4
697,CANYON LAKE,2023,166
698,KAUFMAN,2023,96
699,VAN HORN,2023,9
700,GARDEN RIDGE,2023,37
701,HONEY GROVE,2023,19
702,PROSPER,2023,749
703,MARION,2023,54
704,SAGINAW,2023,146
705,ATASCOSA,2023,39
706,CHILDRESS,2023,17
707,MINEOLA,2023,70
708,PHARR,2023,336
709,TAFT,2023,15
710,GOLDTHWAITE,2023,13
711,TOMBALL,2023,957
712,MARFA,2023,26
713,BULVERDE,2023,158
714,KENNEDALE,2023,65
715,SUDAN,2023,8
716,OVERTON,2023,20
717,ELSA,2023,15
718,CEDAR PARK,2023,750
719,MESQUITE,2023,684
720,PONDER,2023,53
721,ELGIN,2023,170
722,BAGWELL,2023,6
723,ROANOKE,2023,188
724,SMITHVILLE,2023,44
725,HEARNE,2023,23
726,BERTRAM,2023,59
727,BRIDGE CITY,2023,52
728,NEW BRAUNFELS,2023,976
729,DENISON,2023,138
730,MANOR,2023,302
731,LAMPASAS,2023,71
732,LINCOLN,2023,12
733,HORSESHOE BAY,2023,69
734,JEWETT,2023,15
735,JEFFERSON,2023,35
736,HULL,2023,7
737,KINGSVILLE,2023,57
738,HALLETTSVILLE,2023,31
739,HEREFORD,2023,48
740,PERRIN,2023,13
741,CADDO MILLS,2023,105
742,SOUTH HOUSTON,2023,61
743,STREETMAN,2023,5
744,FRIENDSWOOD,2023,413
745,MOODY,2023,14
746,TERRELL,2023,166
747,MONTGOMERY,2023,591
748,MERTZON,2023,5
749,JUDSON,2023,4
750,FRITCH,2023,10
751,HIGHLANDS,2023,42
752,BRIDGEPORT,2023,62
753,CACTUS,2023,5
754,SHEPHERD,2023,33
755,BEEVILLE,2023,58
756,GORDON,2023,11
757,FLORENCE,2023,38
758,WORTHAM,2023,5
759,LIVERPOOL,2023,5
760,RAINBOW,2023,3
761,AUBREY,2023,458
762,TEMPLE,2023,463
763,DIBOLL,2023,20
764,FLOYDADA,2023,16
765,POLLOK,2023,8
766,LONGVIEW,2023,494
767,ALICE,2023,76
768,DESOTO,2023,436
769,JOURDANTON,2023,29
770,GROOM,2023,9
771,HONDO,2023,51
772,COOPER,2023,12
773,HOUSTON,2023,33152
774,PLANO,2023,2945
775,BOERNE,2023,582
776,LEWISVILLE,2023,928
777,SHERMAN,2023,221
778,SULLIVAN CITY,2023,26
779,PLAINVIEW,2023,58
780,FRESNO,2023,201
781,UVALDE,2023,110
782,APPLE SPRINGS,2023,6
783,IVANHOE,2023,5
784,KYLE,2023,398
785,PLEASANTON,2023,60
786,STAMFORD,2023,12
787,SPRINGTOWN,2023,154
788,LUFKIN,2023,227
789,RICHMOND,2023,2159
790,WYLIE,2023,493
791,BATSON,2023,2
792,EVERMAN,2023,23
793,DECATUR,2023,180
794,MARLIN,2023,22
795,BENBROOK,2023,134
796,TEAGUE,2023,10
797,TOOL,2023,17
798,LITTLE ELM,2023,640
799,BEAUMONT,2023,577
800,PEARLAND,2023,1086
801,WEATHERFORD,2023,563
802,CRESSON,2023,27
803,KATY,2023,4149
804,SOUTHLAKE,2023,701
805,BRADY,2023,24
806,CLIFTON,2023,34
807,CROSBY,2023,156
808,LEAGUE CITY,2023,577
809,TEXARKANA,2023,231
810,SHAVANO PARK,2023,47
811,FARMERSVILLE,2023,74
812,LEONARD,2023,22
813,PORT NECHES,2023,52
814,PERRYTON,2023,29
815,THE COLONY,2023,385
816,KRUGERVILLE,2023,37
817,MASON,2023,28
818,MERCEDES,2023,72
819,CRANE,2023,11
820,EDEN,2023,7
821,OAK LEAF,2023,11
822,PADUCAH,2023,5
823,BARKER,2023,32
824,ATLANTA,2023,35
825,INGRAM,2023,27
826,CRYSTAL BEACH,2023,16
827,SPUR,2023,8
828,ANAHUAC,2023,24
829,KOUNTZE,2023,37
830,TEXLINE,2023,6
831,EAGLE LAKE,2023,9
832,GALENA PARK,2023,19
833,BELLS,2023,19
834,ALBA,2023,17
835,RISING STAR,2023,5
836,PLANTERSVILLE,2023,23
837,CLAUDE,2023,12
838,POINTBLANK,2023,15
839,BIVINS,2023,6
840,COLUMBUS,2023,28
841,AMHERST,2023,1
842,FERRIS,2023,49
843,ERA,2023,4
844,DE BERRY,2023,8
845,COUPLAND,2023,23
846,ALVORD,2023,26
847,KENDLETON,2023,2
848,JOHNSON CITY,2023,30
849,WAKA,2023,1
850,GOULDBUSK,2023,3
851,BLUEGROVE,2023,1
852,SMYER,2023,3
853,COPPER CANYON,2023,12
854,RIVER OAKS,2023,31
855,GOLIAD,2023,20
856,PORT ARANSAS,2023,47
857,LONG BRANCH,2023,2
858,ELBERT,2023,1
859,COLEMAN,2023,25
860,QUAIL,2023,1
861,KENEDY,2023,19
862,DENVER CITY,2023,29
863,STOCKDALE,2023,26
864,HOBSON,2023,6
865,MERETA,2023,1
866,FAYETTEVILLE,2023,8
867,LOLITA,2023,3
868,GARY,2023,6
869,GRULLA,2023,1
870,RIO GRANDE CITY,2023,22
871,DAISETTA,2023,6
872,VEGA,2023,7
873,GORDONVILLE,2023,17
874,EDDY,2023,8
875,LEAKEY,2023,12
876,THICKET,2023,4
877,PENELOPE,2023,1
878,KARNES CITY,2023,24
879,ELMENDORF,2023,31
880,BRONTE,2023,8
881,LEROY,2023,1
882,KURTEN,2023,2
